present,p5,ccode,scode,country,polity,persist,bmonth,bday,byear,emonth,eday,eyear,democ,autoc,xrreg,xrcomp,xropen,xconst,parreg,parcomp,exrec,exconst,polcomp
,1,516,BUI,Burundi,-88,1,3,13,1992,7,9,1993,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,1,516,BUI,Burundi,5,0,7,10,1993,10,21,1993,6,1,2,2,4,5,3,4,7,5,8
,1,516,BUI,Burundi,-77,3,10,22,1993,7,25,1996,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,1,516,BUI,Burundi,-5,2,7,26,1996,6,5,1998,0,5,1,0,0,2,4,2,4,2,2
,1,516,BUI,Burundi,-1,3,6,6,1998,10,31,2001,1,2,1,0,0,3,3,3,4,3,6
,1,516,BUI,Burundi,-88,4,11,1,2001,8,18,2005,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,1,516,BUI,Burundi,6,10,8,19,2005,7,14,2015,7,1,2,2,4,6,3,4,7,6,8
1,1,516,BUI,Burundi,-1,3,7,15,2015,99,99,9999,2,3,2,1,4,4,3,3,3,4,6
,0,355,BUL,Bulgaria,-4,2,4,29,1879,7,13,1881,0,4,3,1,1,3,1,0,1,3,4
,0,355,BUL,Bulgaria,-6,2,7,14,1881,9,30,1883,0,6,3,1,1,1,1,0,1,1,4
,0,355,BUL,Bulgaria,-1,3,10,1,1883,9,4,1886,3,4,3,1,2,3,5,5,2,3,10
,0,355,BUL,Bulgaria,-5,8,9,5,1886,6,12,1894,1,6,2,1,4,1,3,3,3,1,6
,0,355,BUL,Bulgaria,-9,19,6,13,1894,6,29,1913,0,9,3,1,1,1,4,2,1,1,2
,0,355,BUL,Bulgaria,-66,1,6,30,1913,3,15,1914,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,0,355,BUL,Bulgaria,-9,5,3,16,1914,10,4,1918,0,9,3,1,1,1,4,2,1,1,2
,0,355,BUL,Bulgaria,2,1,10,5,1918,8,7,1919,4,2,3,3,4,3,3,3,8,3,6
,0,355,BUL,Bulgaria,-3,15,8,8,1919,5,19,1934,1,4,2,1,4,3,3,3,3,3,6
,0,355,BUL,Bulgaria,-88,1,5,20,1934,4,18,1935,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,0,355,BUL,Bulgaria,-10,8,4,19,1935,8,29,1943,0,10,3,1,2,1,4,1,2,1,1
,0,355,BUL,Bulgaria,-77,1,8,30,1943,9,5,1944,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,1,355,BUL,Bulgaria,-88,2,9,6,1944,9,15,1946,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,1,355,BUL,Bulgaria,-6,1,9,16,1946,12,4,1947,0,6,2,1,4,3,4,2,3,3,2
